epoch,E1_miou,E1_oa,E2_miou,E2_oa,E3_miou,E3_oa,E4_miou,E4_oa,E5_miou,E5_oa,E6_miou,E6_oa,E7_miou,E7_oa,E8_miou,E8_oa
64,0.9719,0.989,0.9518,0.9811,0.9719,0.989,0.9475,0.9786,0.9194,0.9682,0.9394,0.9748,0.9475,0.9786,0.9716,0.9878
65,0.9605,0.9841,0.9528,0.9815,0.9765,0.9909,0.9513,0.9803,0.9613,0.9852,0.9451,0.9771,0.9513,0.9803,0.973,0.9886
66,0.9463,0.9777,0.9517,0.9812,0.9787,0.9919,0.9551,0.9821,0.7504,0.9024,0.9411,0.9749,0.9551,0.9821,0.975,0.9897
67,0.9556,0.9821,0.957,0.9834,0.9779,0.9916,0.9624,0.9852,0.7272,0.8927,0.9425,0.9754,0.9624,0.9852,0.9743,0.9897
68,0.968,0.9877,0.9271,0.9714,0.9773,0.9914,0.9641,0.9861,0.9178,0.9693,0.9528,0.9801,0.9641,0.9861,0.9754,0.9903
69,0.9646,0.9863,0.9228,0.9696,0.9743,0.9902,0.9613,0.9849,0.9712,0.9892,0.9564,0.9819,0.9613,0.9849,0.9787,0.9915
70,0.9537,0.9819,0.9419,0.9772,0.9744,0.9902,0.9645,0.9861,0.9755,0.9907,0.9648,0.9854,0.9645,0.9861,0.9769,0.9909
71,0.9575,0.9833,0.9458,0.9787,0.9689,0.9878,0.9622,0.9851,0.9676,0.9878,0.9643,0.9852,0.9622,0.9851,0.9698,0.9882
72,0.964,0.9859,0.9449,0.9783,0.9719,0.9891,0.9559,0.9827,0.9647,0.9866,0.963,0.9843,0.9559,0.9827,0.9685,0.9878
73,0.9686,0.9873,0.9577,0.9836,0.9696,0.9882,0.9663,0.9869,0.9619,0.9855,0.9697,0.9872,0.9663,0.9869,0.968,0.9875
74,0.9694,0.9872,0.9578,0.9836,0.975,0.9904,0.9649,0.9863,0.9666,0.9874,0.9661,0.986,0.9649,0.9863,0.9715,0.9891
75,0.9688,0.9868,0.9546,0.9824,0.9756,0.9906,0.9639,0.986,0.9687,0.9882,0.9634,0.9851,0.9639,0.986,0.9756,0.9908
76,0.9703,0.9875,0.95,0.9806,0.976,0.9908,0.9591,0.9841,0.9716,0.9893,0.9654,0.9859,0.9591,0.9841,0.9804,0.9926
77,0.9753,0.9901,0.9599,0.9846,0.9723,0.9893,0.9684,0.9878,0.9633,0.9861,0.9698,0.9878,0.9684,0.9878,0.9786,0.9919
78,0.9762,0.9906,0.9622,0.9856,0.9722,0.9894,0.9703,0.9886,0.9626,0.9858,0.9749,0.9899,0.9703,0.9886,0.9792,0.9922
79,0.9751,0.9902,0.9631,0.9859,0.972,0.9894,0.9703,0.9885,0.9643,0.9864,0.973,0.9893,0.9703,0.9885,0.98,0.9923
80,0.9728,0.9893,0.963,0.9859,0.9746,0.9904,0.9697,0.9883,0.9643,0.9864,0.9716,0.9888,0.9697,0.9883,0.9784,0.9918
81,0.9703,0.9882,0.9682,0.9879,0.9763,0.9911,0.9727,0.9895,0.9654,0.9869,0.9764,0.9906,0.9727,0.9895,0.9788,0.9919
82,0.9709,0.9884,0.9654,0.9868,0.9804,0.9927,0.9678,0.9875,0.9624,0.9856,0.9738,0.9896,0.9678,0.9875,0.9782,0.9916
83,0.9726,0.9891,0.9651,0.9867,0.9773,0.9914,0.9691,0.988,0.9701,0.9887,0.9693,0.988,0.9691,0.988,0.9827,0.9935
84,0.9733,0.9894,0.9682,0.9879,0.978,0.9917,0.971,0.9888,0.9674,0.9876,0.9736,0.9897,0.971,0.9888,0.981,0.9928
85,0.9739,0.9896,0.9605,0.9849,0.977,0.9913,0.9626,0.9854,0.9692,0.9883,0.966,0.9865,0.9626,0.9854,0.9811,0.9928
86,0.9728,0.9891,0.9641,0.9863,0.9795,0.9923,0.9683,0.9877,0.9659,0.9869,0.9659,0.9868,0.9683,0.9877,0.9794,0.9921
87,0.9703,0.9881,0.9637,0.9861,0.9782,0.9918,0.9662,0.9869,0.9736,0.99,0.9677,0.9873,0.9662,0.9869,0.9831,0.9936
88,0.9711,0.9883,0.9658,0.987,0.9764,0.9911,0.9696,0.9882,0.9728,0.9897,0.9675,0.9875,0.9696,0.9882,0.9831,0.9936
89,0.9706,0.9882,0.9693,0.9884,0.9773,0.9914,0.9725,0.9895,0.9724,0.9895,0.9736,0.9898,0.9725,0.9895,0.9797,0.9924
90,0.9702,0.988,0.9625,0.9857,0.9785,0.9919,0.965,0.9864,0.9712,0.9891,0.9677,0.9874,0.965,0.9864,0.9804,0.9926
91,0.9687,0.9873,0.9677,0.9878,0.9784,0.9918,0.9713,0.9889,0.9698,0.9885,0.9704,0.9887,0.9713,0.9889,0.9799,0.9924
92,0.9674,0.9867,0.9697,0.9885,0.9784,0.9918,0.973,0.9896,0.9728,0.9897,0.9727,0.9895,0.973,0.9896,0.9832,0.9937
93,0.966,0.9862,0.9686,0.9881,0.9729,0.9896,0.9723,0.9894,0.9734,0.99,0.9715,0.9892,0.9723,0.9894,0.9832,0.9937
94,0.9673,0.9867,0.9694,0.9884,0.9763,0.991,0.9723,0.9894,0.9733,0.9899,0.9738,0.9899,0.9723,0.9894,0.9833,0.9937
95,0.9664,0.9863,0.9713,0.9891,0.9801,0.9926,0.9739,0.99,0.966,0.987,0.974,0.99,0.9739,0.99,0.9799,0.9924
96,0.9657,0.9861,0.9718,0.9894,0.9798,0.9924,0.9745,0.9903,0.9698,0.9886,0.9757,0.9907,0.9745,0.9903,0.98,0.9925
97,0.9661,0.9862,0.9709,0.989,0.9768,0.9912,0.9739,0.99,0.9669,0.9874,0.9738,0.99,0.9739,0.99,0.98,0.9924
98,0.9656,0.986,0.9689,0.9883,0.9773,0.9914,0.9726,0.9895,0.9687,0.9882,0.9725,0.9896,0.9726,0.9895,0.9798,0.9924
99,0.9648,0.9857,0.9665,0.9872,0.9761,0.9909,0.9677,0.9876,0.9665,0.9873,0.9722,0.9892,0.9677,0.9876,0.9799,0.9924
100,0.9668,0.9865,0.9715,0.9893,0.9724,0.9894,0.974,0.9901,0.9719,0.9894,0.9739,0.99,0.974,0.9901,0.9815,0.9931
