epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa,TopoFusion_miou,TopoFusion_oa
62,0.925,0.9375,0.9285,0.9444,0.9269,0.9651,0.3702,0.5919,0.9583,0.9829,0.925,0.969,0.8983,0.9587,0.9716,0.9878
63,0.9443,0.9645,0.9165,0.9312,0.9274,0.9636,0.4047,0.6389,0.9657,0.9862,0.8642,0.9373,0.947,0.9795,0.9723,0.9878
64,0.9345,0.9717,0.9144,0.9295,0.9321,0.965,0.4251,0.6432,0.9719,0.989,0.9438,0.9765,0.9432,0.9782,0.9716,0.9878
65,0.9329,0.9503,0.9197,0.9349,0.9328,0.9652,0.3572,0.5746,0.9605,0.9841,0.9587,0.9846,0.9423,0.9776,0.973,0.9886
66,0.9296,0.9446,0.9223,0.9386,0.9371,0.9681,0.3128,0.5167,0.9463,0.9777,0.9514,0.9823,0.9368,0.9753,0.975,0.9897
67,0.9278,0.9429,0.9313,0.9445,0.9435,0.973,0.3169,0.5213,0.9556,0.9821,0.9593,0.985,0.9366,0.9751,0.9743,0.9897
68,0.9364,0.9477,0.9292,0.9439,0.9378,0.9709,0.3395,0.5474,0.968,0.9877,0.9616,0.9858,0.9041,0.9614,0.9754,0.9903
69,0.9392,0.9521,0.9274,0.9409,0.9369,0.9713,0.3475,0.5547,0.9646,0.9863,0.953,0.9826,0.8799,0.9507,0.9787,0.9915
70,0.9285,0.943,0.9255,0.9412,0.9385,0.972,0.3053,0.506,0.9537,0.9819,0.9541,0.9831,0.9316,0.9728,0.9769,0.9909
71,0.9266,0.9396,0.9265,0.9388,0.9414,0.9723,0.3071,0.506,0.9575,0.9833,0.9553,0.9829,0.9426,0.9775,0.9698,0.9882
72,0.9286,0.9417,0.9173,0.9315,0.9519,0.9779,0.4257,0.6088,0.964,0.9859,0.9546,0.9822,0.9395,0.9763,0.9685,0.9878
73,0.9309,0.943,0.9211,0.9343,0.9495,0.9759,0.4112,0.6056,0.9686,0.9873,0.9597,0.9852,0.9383,0.976,0.968,0.9875
74,0.934,0.9463,0.9251,0.9381,0.9485,0.9745,0.4032,0.6003,0.9694,0.9872,0.9576,0.9845,0.9385,0.9761,0.9715,0.9891
75,0.9361,0.9494,0.929,0.942,0.9526,0.9769,0.3494,0.5572,0.9688,0.9868,0.9624,0.9862,0.9281,0.9714,0.9756,0.9908
76,0.9297,0.9436,0.9285,0.9409,0.9537,0.9774,0.3606,0.5778,0.9703,0.9875,0.9614,0.9858,0.9286,0.9715,0.9804,0.9926
77,0.9255,0.94,0.9296,0.9416,0.9535,0.9782,0.3631,0.5755,0.9753,0.9901,0.9633,0.9863,0.9435,0.9777,0.9786,0.9919
78,0.9406,0.9524,0.9304,0.9421,0.9588,0.9809,0.3658,0.5732,0.9762,0.9906,0.964,0.9863,0.9507,0.9807,0.9792,0.9922
79,0.9386,0.951,0.9234,0.936,0.9581,0.9807,0.362,0.5761,0.9751,0.9902,0.9618,0.9852,0.9555,0.9828,0.98,0.9923
80,0.9385,0.9534,0.9201,0.9329,0.9548,0.9797,0.3672,0.5775,0.9728,0.9893,0.9614,0.9848,0.9587,0.9841,0.9784,0.9918
81,0.9372,0.9543,0.9185,0.9318,0.9556,0.9804,0.3389,0.5498,0.9703,0.9882,0.9615,0.9851,0.9635,0.986,0.9788,0.9919
82,0.9388,0.9539,0.9235,0.936,0.9563,0.9809,0.3479,0.5582,0.9709,0.9884,0.9595,0.9845,0.9615,0.9852,0.9782,0.9916
83,0.9386,0.9516,0.9259,0.9379,0.9585,0.9818,0.3497,0.5633,0.9726,0.9891,0.9629,0.9858,0.9642,0.9863,0.9827,0.9935
84,0.9318,0.9504,0.9229,0.9357,0.9547,0.9798,0.3669,0.5828,0.9733,0.9894,0.9654,0.9867,0.9636,0.9861,0.981,0.9928
85,0.9334,0.952,0.9252,0.9375,0.9555,0.9803,0.3497,0.564,0.9739,0.9896,0.9664,0.9871,0.9647,0.9866,0.9811,0.9928
86,0.9416,0.9522,0.9201,0.9336,0.9584,0.9814,0.379,0.587,0.9728,0.9891,0.9681,0.9879,0.9667,0.9873,0.9794,0.9921
87,0.9342,0.9502,0.9217,0.9348,0.9582,0.9814,0.3629,0.5733,0.9703,0.9881,0.9669,0.9873,0.9696,0.9884,0.9831,0.9936
88,0.9335,0.9481,0.9271,0.9393,0.9586,0.9816,0.3535,0.5714,0.9711,0.9883,0.9703,0.9886,0.9674,0.9875,0.9831,0.9936
89,0.9376,0.9496,0.9254,0.9378,0.9606,0.9824,0.3543,0.5714,0.9706,0.9882,0.9706,0.9889,0.9649,0.9865,0.9797,0.9924
90,0.9359,0.9488,0.9261,0.9404,0.9598,0.982,0.3658,0.5811,0.9702,0.988,0.9663,0.9873,0.9657,0.9869,0.9804,0.9926
91,0.9325,0.9454,0.929,0.9408,0.9638,0.9842,0.3605,0.5831,0.9687,0.9873,0.9681,0.988,0.9681,0.9878,0.9799,0.9924
92,0.9352,0.9465,0.929,0.9413,0.9619,0.9831,0.3501,0.5778,0.9674,0.9867,0.9671,0.9874,0.9686,0.9879,0.9832,0.9937
93,0.9353,0.9478,0.931,0.9439,0.9642,0.9841,0.3392,0.5576,0.966,0.9862,0.966,0.9869,0.968,0.9877,0.9832,0.9937
94,0.9387,0.9495,0.9277,0.9407,0.966,0.9851,0.3439,0.5619,0.9673,0.9867,0.9633,0.986,0.9684,0.9879,0.9833,0.9937
95,0.9333,0.9461,0.9297,0.9414,0.9628,0.9833,0.3669,0.5889,0.9664,0.9863,0.9669,0.9872,0.9688,0.988,0.9799,0.9924
96,0.9323,0.9479,0.9261,0.9397,0.9674,0.9859,0.3477,0.5638,0.9657,0.9861,0.9683,0.9877,0.969,0.9881,0.98,0.9925
97,0.9358,0.9512,0.9315,0.9444,0.9625,0.9832,0.3516,0.5642,0.9661,0.9862,0.9673,0.9873,0.9692,0.9882,0.98,0.9924
98,0.94,0.9514,0.9307,0.9426,0.9638,0.984,0.3638,0.5706,0.9656,0.986,0.9655,0.9869,0.969,0.9881,0.9798,0.9924
99,0.941,0.9545,0.9301,0.9426,0.9682,0.9863,0.3612,0.571,0.9648,0.9857,0.9663,0.987,0.9691,0.9881,0.9799,0.9924
100,0.9379,0.9498,0.9274,0.9395,0.9683,0.9862,0.3508,0.5614,0.9668,0.9865,0.9669,0.9874,0.9693,0.9882,0.9815,0.9931
