epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa
65,0.9817,0.9906,0.9805,0.9902,0.9328,0.9652,0.3572,0.5746,0.9605,0.9841,0.9334,0.9735,0.9423,0.9776
66,0.9758,0.9867,0.9769,0.9882,0.9371,0.9681,0.3128,0.5167,0.9463,0.9777,0.9614,0.9849,0.9368,0.9753
67,0.9794,0.9888,0.9805,0.9897,0.9435,0.973,0.3169,0.5213,0.9556,0.9821,0.9552,0.9806,0.9366,0.9751
68,0.9813,0.9903,0.9776,0.9882,0.9378,0.9709,0.3395,0.5474,0.968,0.9877,0.9647,0.9847,0.9041,0.9614
69,0.981,0.9897,0.9797,0.9895,0.9369,0.9713,0.3475,0.5547,0.9646,0.9863,0.9646,0.9859,0.8799,0.9507
70,0.98,0.9892,0.9803,0.9899,0.9385,0.972,0.3053,0.506,0.9537,0.9819,0.9311,0.9685,0.9316,0.9728
71,0.9791,0.9887,0.9743,0.9863,0.9414,0.9723,0.3071,0.506,0.9575,0.9833,0.9349,0.9703,0.9426,0.9775
72,0.9865,0.9929,0.9774,0.9878,0.9519,0.9779,0.4257,0.6088,0.964,0.9859,0.9697,0.9869,0.9395,0.9763
73,0.9846,0.9919,0.9737,0.9854,0.9495,0.9759,0.4112,0.6056,0.9686,0.9873,0.9774,0.9912,0.9383,0.976
74,0.9712,0.9857,0.9778,0.9876,0.9485,0.9745,0.4032,0.6003,0.9694,0.9872,0.9766,0.991,0.9385,0.9761
75,0.9832,0.9911,0.9848,0.9922,0.9526,0.9769,0.3494,0.5572,0.9688,0.9868,0.9776,0.9915,0.9281,0.9714
76,0.981,0.989,0.9777,0.9879,0.9537,0.9774,0.3606,0.5778,0.9703,0.9875,0.9747,0.9904,0.9286,0.9715
